I0,PA500,HFS,DA,Area,A/DA,'Max IP',DR,P,Class
'\'(1451.5-1721.2]\'','\'(0.046984-0.081577]\'','\'(0.040492-0.093899]\'','\'(228.406421-332.785797]\'','\'(-inf-17511.431235]\'','\'(17.843322-34.090902]\'','\'(50.781869-93.594955]\'','\'(188.104316-286.785323]\'','\'(1510.780522-1787.940914]\'',adi
'\'(2530.3-inf)\'','\'(0.081577-0.116169]\'','\'(0.147306-0.200713]\'','\'(541.544548-645.923924]\'','\'(17511.431235-34952.436231]\'','\'(50.338482-66.586062]\'','\'(264.847297-307.660383]\'','\'(484.147335-582.828342]\'','\'(2619.422091-inf)\'',adi
'\'(2260.6-2530.3]\'','\'(0.046984-0.081577]\'','\'(0.307527-0.360934]\'','\'(332.785797-437.165173]\'','\'(17511.431235-34952.436231]\'','\'(66.586062-82.833642]\'','\'(307.660383-350.473469]\'','\'(89.42331-188.104316]\'','\'(2619.422091-inf)\'',adi
'\'(2260.6-2530.3]\'','\'(0.081577-0.116169]\'','\'(0.200713-0.25412]\'','\'(541.544548-645.923924]\'','\'(34952.436231-52393.441227]\'','\'(50.338482-66.586062]\'','\'(222.034212-264.847297]\'','\'(484.147335-582.828342]\'','\'(2342.261699-2619.422091]\'',adi
'\'(1990.9-2260.6]\'','\'(0.046984-0.081577]\'','\'(0.093899-0.147306]\'','\'(228.406421-332.785797]\'','\'(-inf-17511.431235]\'','\'(34.090902-50.338482]\'','\'(136.40804-179.221126]\'','\'(188.104316-286.785323]\'','\'(1787.940914-2065.101306]\'',adi
'\'(1990.9-2260.6]\'','\'(0.081577-0.116169]\'','\'(0.093899-0.147306]\'','\'(437.165173-541.544548]\'','\'(34952.436231-52393.441227]\'','\'(66.586062-82.833642]\'','\'(179.221126-222.034212]\'','\'(385.466329-484.147335]\'','\'(2065.101306-2342.261699]\'',adi
'\'(2530.3-inf)\'','\'(0.185354-0.219946]\'','\'(0.200713-0.25412]\'','\'(959.062051-inf)\'','\'(157039.471204-inf)\'','\'(147.823963-inf)\'','\'(393.286554-inf)\'','\'(878.871361-inf)\'','\'(2619.422091-inf)\'',adi
'\'(1451.5-1721.2]\'','\'(0.046984-0.081577]\'','\'(-inf--0.012915]\'','\'(332.785797-437.165173]\'','\'(-inf-17511.431235]\'','\'(17.843322-34.090902]\'','\'(93.594955-136.40804]\'','\'(385.466329-484.147335]\'','\'(1233.62013-1510.780522]\'',adi
'\'(2260.6-2530.3]\'','\'(-inf-0.046984]\'','\'(0.093899-0.147306]\'','\'(124.027045-228.406421]\'','\'(-inf-17511.431235]\'','\'(17.843322-34.090902]\'','\'(136.40804-179.221126]\'','\'(-inf-89.42331]\'','\'(2342.261699-2619.422091]\'',adi
'\'(2530.3-inf)\'','\'(0.046984-0.081577]\'','\'(0.040492-0.093899]\'','\'(645.923924-750.3033]\'','\'(34952.436231-52393.441227]\'','\'(50.338482-66.586062]\'','\'(136.40804-179.221126]\'','\'(681.509348-780.190354]\'','\'(2342.261699-2619.422091]\'',adi
