b1,b2,b3,b4,b5,b6,b7,b8,b9,pred_minus_obs_H_b1,pred_minus_obs_H_b2,pred_minus_obs_H_b3,pred_minus_obs_H_b4,pred_minus_obs_H_b5,pred_minus_obs_H_b6,pred_minus_obs_H_b7,pred_minus_obs_H_b8,pred_minus_obs_H_b9,pred_minus_obs_S_b1,pred_minus_obs_S_b2,pred_minus_obs_S_b3,pred_minus_obs_S_b4,pred_minus_obs_S_b5,pred_minus_obs_S_b6,pred_minus_obs_S_b7,pred_minus_obs_S_b8,pred_minus_obs_S_b9,class
'\'(61.4-69]\'','\'(-inf-29.8]\'','\'(-inf-54.7]\'','\'(105-112.2]\'','\'(-inf-48.7]\'','\'(88.5-94]\'','\'(79.6-89]\'','\'(-inf-25.5]\'','\'(51.9-58.8]\'','\'(45.515-53.628]\'','\'(22.627-inf)\'','\'(39.954-48.752]\'','\'(-5.26-1.23]\'','\'(-24.016-inf)\'','\'(-34.274--28.912]\'','\'(-11.715--2.44]\'','\'(4.201-inf)\'','\'(-3.992-2.794]\'','\'(-22.984--21.081]\'','\'(-1.865--1.136]\'','\'(-5.656--4.54]\'','\'(-25.606--23.35]\'','\'(-0.994--0.785]\'','\'(-5.81--5.09]\'','\'(-23.037--20.936]\'','\'(-2.868--1.96]\'','\'(-5.594--4.76]\'','s '
'\'(84.2-91.8]\'','\'(-inf-29.8]\'','\'(54.7-62.4]\'','\'(112.2-119.4]\'','\'(48.7-54.4]\'','\'(94-99.5]\'','\'(98.4-107.8]\'','\'(25.5-32]\'','\'(58.8-65.7]\'','\'(21.176-29.289]\'','\'(15.354-22.627]\'','\'(39.954-48.752]\'','\'(-24.73--18.24]\'','\'(-29.632--24.016]\'','\'(-39.636--34.274]\'','\'(-39.54--30.265]\'','\'(-2.348-4.201]\'','\'(-10.778--3.992]\'','\'(-19.178--17.275]\'','\'(-0.407-0.322]\'','\'(-3.424--2.308]\'','\'(-21.094--18.838]\'','\'(-0.785--0.576]\'','\'(-3.65--2.93]\'','\'(-16.734--14.633]\'','\'(-1.052--0.144]\'','\'(-3.926--3.092]\'','h '
'\'(53.8-61.4]\'','\'(50.2-57]\'','\'(77.8-85.5]\'','\'(83.4-90.6]\'','\'(71.5-77.2]\'','\'(99.5-105]\'','\'(98.4-107.8]\'','\'(25.5-32]\'','\'(51.9-58.8]\'','\'(53.628-61.741]\'','\'(-6.465-0.808]\'','\'(13.56-22.358]\'','\'(14.21-20.7]\'','\'(-52.096--46.48]\'','\'(-44.998--39.636]\'','\'(-30.265--20.99]\'','\'(-2.348-4.201]\'','\'(-3.992-2.794]\'','\'(-22.984--21.081]\'','\'(-2.594--1.865]\'','\'(-6.772--5.656]\'','\'(-23.35--21.094]\'','\'(-0.994--0.785]\'','\'(-5.81--5.09]\'','\'(-23.037--20.936]\'','\'(-1.96--1.052]\'','\'(-4.76--3.926]\'','d '
'\'(46.2-53.8]\'','\'(-inf-29.8]\'','\'(-inf-54.7]\'','\'(83.4-90.6]\'','\'(54.4-60.1]\'','\'(88.5-94]\'','\'(79.6-89]\'','\'(25.5-32]\'','\'(51.9-58.8]\'','\'(61.741-69.854]\'','\'(15.354-22.627]\'','\'(39.954-48.752]\'','\'(14.21-20.7]\'','\'(-29.632--24.016]\'','\'(-34.274--28.912]\'','\'(-11.715--2.44]\'','\'(4.201-inf)\'','\'(-3.992-2.794]\'','\'(-24.887--22.984]\'','\'(-2.594--1.865]\'','\'(-5.656--4.54]\'','\'(-27.862--25.606]\'','\'(-0.994--0.785]\'','\'(-5.81--5.09]\'','\'(-23.037--20.936]\'','\'(-2.868--1.96]\'','\'(-5.594--4.76]\'','s '
'\'(53.8-61.4]\'','\'(-inf-29.8]\'','\'(-inf-54.7]\'','\'(97.8-105]\'','\'(48.7-54.4]\'','\'(94-99.5]\'','\'(70.2-79.6]\'','\'(-inf-25.5]\'','\'(51.9-58.8]\'','\'(45.515-53.628]\'','\'(15.354-22.627]\'','\'(39.954-48.752]\'','\'(-5.26-1.23]\'','\'(-24.016-inf)\'','\'(-39.636--34.274]\'','\'(-11.715--2.44]\'','\'(4.201-inf)\'','\'(-3.992-2.794]\'','\'(-19.178--17.275]\'','\'(-0.407-0.322]\'','\'(-3.424--2.308]\'','\'(-21.094--18.838]\'','\'(-0.576--0.367]\'','\'(-3.65--2.93]\'','\'(-16.734--14.633]\'','\'(-1.052--0.144]\'','\'(-3.092--2.258]\'','s '
'\'(46.2-53.8]\'','\'(43.4-50.2]\'','\'(62.4-70.1]\'','\'(90.6-97.8]\'','\'(71.5-77.2]\'','\'(110.5-116]\'','\'(98.4-107.8]\'','\'(25.5-32]\'','\'(65.7-72.6]\'','\'(53.628-61.741]\'','\'(0.808-8.081]\'','\'(22.358-31.156]\'','\'(1.23-7.72]\'','\'(-52.096--46.48]\'','\'(-55.722--50.36]\'','\'(-30.265--20.99]\'','\'(-8.897--2.348]\'','\'(-17.564--10.778]\'','\'(-17.275--15.372]\'','\'(-1.136--0.407]\'','\'(-3.424--2.308]\'','\'(-23.35--21.094]\'','\'(-0.785--0.576]\'','\'(-3.65--2.93]\'','\'(-16.734--14.633]\'','\'(-1.96--1.052]\'','\'(-4.76--3.926]\'','o '
'\'(46.2-53.8]\'','\'(36.6-43.4]\'','\'(62.4-70.1]\'','\'(76.2-83.4]\'','\'(65.8-71.5]\'','\'(94-99.5]\'','\'(89-98.4]\'','\'(25.5-32]\'','\'(51.9-58.8]\'','\'(61.741-69.854]\'','\'(0.808-8.081]\'','\'(22.358-31.156]\'','\'(14.21-20.7]\'','\'(-46.48--40.864]\'','\'(-39.636--34.274]\'','\'(-30.265--20.99]\'','\'(4.201-inf)\'','\'(-3.992-2.794]\'','\'(-21.081--19.178]\'','\'(-1.865--1.136]\'','\'(-5.656--4.54]\'','\'(-18.838--16.582]\'','\'(-1.203--0.994]\'','\'(-5.09--4.37]\'','\'(-18.835--16.734]\'','\'(-1.96--1.052]\'','\'(-4.76--3.926]\'','d '
'\'(53.8-61.4]\'','\'(29.8-36.6]\'','\'(54.7-62.4]\'','\'(90.6-97.8]\'','\'(54.4-60.1]\'','\'(94-99.5]\'','\'(79.6-89]\'','\'(-inf-25.5]\'','\'(51.9-58.8]\'','\'(53.628-61.741]\'','\'(15.354-22.627]\'','\'(39.954-48.752]\'','\'(-5.26-1.23]\'','\'(-29.632--24.016]\'','\'(-39.636--34.274]\'','\'(-11.715--2.44]\'','\'(-2.348-4.201]\'','\'(-3.992-2.794]\'','\'(-17.275--15.372]\'','\'(-0.407-0.322]\'','\'(-0.076-inf)\'','\'(-18.838--16.582]\'','\'(-0.576--0.367]\'','\'(-3.65--2.93]\'','\'(-14.633--12.532]\'','\'(-1.052--0.144]\'','\'(-3.092--2.258]\'','s '
'\'(69-76.6]\'','\'(77.4-84.2]\'','\'(93.2-100.9]\'','\'(105-112.2]\'','\'(88.6-94.3]\'','\'(127-132.5]\'','\'(79.6-89]\'','\'(38.5-45]\'','\'(72.6-79.5]\'','\'(37.402-45.515]\'','\'(-28.284--21.011]\'','\'(-4.036-4.762]\'','\'(-18.24--11.75]\'','\'(-68.944--63.328]\'','\'(-71.808--66.446]\'','\'(-11.715--2.44]\'','\'(-21.995--15.446]\'','\'(-24.35--17.564]\'','\'(-19.178--17.275]\'','\'(-1.136--0.407]\'','\'(-3.424--2.308]\'','\'(-21.094--18.838]\'','\'(-0.785--0.576]\'','\'(-4.37--3.65]\'','\'(-16.734--14.633]\'','\'(-1.052--0.144]\'','\'(-3.926--3.092]\'','o '
'\'(53.8-61.4]\'','\'(43.4-50.2]\'','\'(62.4-70.1]\'','\'(83.4-90.6]\'','\'(71.5-77.2]\'','\'(99.5-105]\'','\'(107.8-117.2]\'','\'(25.5-32]\'','\'(51.9-58.8]\'','\'(53.628-61.741]\'','\'(0.808-8.081]\'','\'(22.358-31.156]\'','\'(20.7-inf)\'','\'(-52.096--46.48]\'','\'(-44.998--39.636]\'','\'(-30.265--20.99]\'','\'(4.201-inf)\'','\'(-3.992-2.794]\'','\'(-21.081--19.178]\'','\'(-inf--4.781]\'','\'(-7.888--6.772]\'','\'(-25.606--23.35]\'','\'(-1.203--0.994]\'','\'(-5.81--5.09]\'','\'(-23.037--20.936]\'','\'(-2.868--1.96]\'','\'(-5.594--4.76]\'','d '
'\'(53.8-61.4]\'','\'(-inf-29.8]\'','\'(-inf-54.7]\'','\'(97.8-105]\'','\'(48.7-54.4]\'','\'(88.5-94]\'','\'(79.6-89]\'','\'(25.5-32]\'','\'(51.9-58.8]\'','\'(53.628-61.741]\'','\'(22.627-inf)\'','\'(39.954-48.752]\'','\'(-5.26-1.23]\'','\'(-24.016-inf)\'','\'(-34.274--28.912]\'','\'(-11.715--2.44]\'','\'(-2.348-4.201]\'','\'(-3.992-2.794]\'','\'(-21.081--19.178]\'','\'(-1.865--1.136]\'','\'(-4.54--3.424]\'','\'(-27.862--25.606]\'','\'(-0.994--0.785]\'','\'(-5.09--4.37]\'','\'(-20.936--18.835]\'','\'(-2.868--1.96]\'','\'(-5.594--4.76]\'','s '
'\'(61.4-69]\'','\'(29.8-36.6]\'','\'(54.7-62.4]\'','\'(90.6-97.8]\'','\'(48.7-54.4]\'','\'(94-99.5]\'','\'(70.2-79.6]\'','\'(25.5-32]\'','\'(51.9-58.8]\'','\'(45.515-53.628]\'','\'(15.354-22.627]\'','\'(39.954-48.752]\'','\'(-5.26-1.23]\'','\'(-29.632--24.016]\'','\'(-39.636--34.274]\'','\'(-11.715--2.44]\'','\'(-2.348-4.201]\'','\'(-3.992-2.794]\'','\'(-19.178--17.275]\'','\'(-0.407-0.322]\'','\'(-1.192--0.076]\'','\'(-21.094--18.838]\'','\'(-0.785--0.576]\'','\'(-3.65--2.93]\'','\'(-16.734--14.633]\'','\'(-1.052--0.144]\'','\'(-3.092--2.258]\'','s '
'\'(53.8-61.4]\'','\'(-inf-29.8]\'','\'(-inf-54.7]\'','\'(90.6-97.8]\'','\'(48.7-54.4]\'','\'(88.5-94]\'','\'(60.8-70.2]\'','\'(-inf-25.5]\'','\'(51.9-58.8]\'','\'(53.628-61.741]\'','\'(15.354-22.627]\'','\'(39.954-48.752]\'','\'(1.23-7.72]\'','\'(-29.632--24.016]\'','\'(-34.274--28.912]\'','\'(-2.44-6.835]\'','\'(-2.348-4.201]\'','\'(-3.992-2.794]\'','\'(-19.178--17.275]\'','\'(-0.407-0.322]\'','\'(-2.308--1.192]\'','\'(-23.35--21.094]\'','\'(-0.785--0.576]\'','\'(-4.37--3.65]\'','\'(-18.835--16.734]\'','\'(-1.052--0.144]\'','\'(-3.092--2.258]\'','s '
'\'(53.8-61.4]\'','\'(36.6-43.4]\'','\'(62.4-70.1]\'','\'(83.4-90.6]\'','\'(54.4-60.1]\'','\'(94-99.5]\'','\'(89-98.4]\'','\'(25.5-32]\'','\'(51.9-58.8]\'','\'(53.628-61.741]\'','\'(0.808-8.081]\'','\'(22.358-31.156]\'','\'(7.72-14.21]\'','\'(-35.248--29.632]\'','\'(-39.636--34.274]\'','\'(-20.99--11.715]\'','\'(4.201-inf)\'','\'(-3.992-2.794]\'','\'(-inf--24.887]\'','\'(0.322-1.051]\'','\'(-5.656--4.54]\'','\'(-21.094--18.838]\'','\'(-0.994--0.785]\'','\'(-5.81--5.09]\'','\'(-25.138--23.037]\'','\'(-0.144-0.764]\'','\'(-3.092--2.258]\'','d '
'\'(53.8-61.4]\'','\'(36.6-43.4]\'','\'(62.4-70.1]\'','\'(83.4-90.6]\'','\'(60.1-65.8]\'','\'(94-99.5]\'','\'(89-98.4]\'','\'(-inf-25.5]\'','\'(51.9-58.8]\'','\'(53.628-61.741]\'','\'(8.081-15.354]\'','\'(31.156-39.954]\'','\'(14.21-20.7]\'','\'(-40.864--35.248]\'','\'(-39.636--34.274]\'','\'(-20.99--11.715]\'','\'(4.201-inf)\'','\'(-3.992-2.794]\'','\'(-22.984--21.081]\'','\'(-4.052--3.323]\'','\'(-6.772--5.656]\'','\'(-27.862--25.606]\'','\'(-0.994--0.785]\'','\'(-5.81--5.09]\'','\'(-23.037--20.936]\'','\'(-2.868--1.96]\'','\'(-5.594--4.76]\'','d '
'\'(53.8-61.4]\'','\'(-inf-29.8]\'','\'(-inf-54.7]\'','\'(90.6-97.8]\'','\'(48.7-54.4]\'','\'(88.5-94]\'','\'(79.6-89]\'','\'(-inf-25.5]\'','\'(51.9-58.8]\'','\'(53.628-61.741]\'','\'(22.627-inf)\'','\'(39.954-48.752]\'','\'(1.23-7.72]\'','\'(-24.016-inf)\'','\'(-34.274--28.912]\'','\'(-11.715--2.44]\'','\'(4.201-inf)\'','\'(-3.992-2.794]\'','\'(-22.984--21.081]\'','\'(-1.865--1.136]\'','\'(-5.656--4.54]\'','\'(-25.606--23.35]\'','\'(-0.785--0.576]\'','\'(-5.81--5.09]\'','\'(-23.037--20.936]\'','\'(-2.868--1.96]\'','\'(-5.594--4.76]\'','s '
'\'(53.8-61.4]\'','\'(43.4-50.2]\'','\'(54.7-62.4]\'','\'(112.2-119.4]\'','\'(54.4-60.1]\'','\'(99.5-105]\'','\'(107.8-117.2]\'','\'(25.5-32]\'','\'(58.8-65.7]\'','\'(53.628-61.741]\'','\'(0.808-8.081]\'','\'(31.156-39.954]\'','\'(-18.24--11.75]\'','\'(-35.248--29.632]\'','\'(-44.998--39.636]\'','\'(-39.54--30.265]\'','\'(-2.348-4.201]\'','\'(-10.778--3.992]\'','\'(-19.178--17.275]\'','\'(-1.136--0.407]\'','\'(-3.424--2.308]\'','\'(-23.35--21.094]\'','\'(-0.785--0.576]\'','\'(-3.65--2.93]\'','\'(-18.835--16.734]\'','\'(-2.868--1.96]\'','\'(-4.76--3.926]\'','d '
'\'(46.2-53.8]\'','\'(36.6-43.4]\'','\'(62.4-70.1]\'','\'(83.4-90.6]\'','\'(65.8-71.5]\'','\'(99.5-105]\'','\'(70.2-79.6]\'','\'(25.5-32]\'','\'(51.9-58.8]\'','\'(61.741-69.854]\'','\'(8.081-15.354]\'','\'(22.358-31.156]\'','\'(1.23-7.72]\'','\'(-46.48--40.864]\'','\'(-44.998--39.636]\'','\'(-2.44-6.835]\'','\'(-2.348-4.201]\'','\'(-3.992-2.794]\'','\'(-21.081--19.178]\'','\'(-1.865--1.136]\'','\'(-5.656--4.54]\'','\'(-18.838--16.582]\'','\'(-1.412--1.203]\'','\'(-5.09--4.37]\'','\'(-18.835--16.734]\'','\'(-1.96--1.052]\'','\'(-4.76--3.926]\'','d '
'\'(61.4-69]\'','\'(-inf-29.8]\'','\'(-inf-54.7]\'','\'(112.2-119.4]\'','\'(48.7-54.4]\'','\'(88.5-94]\'','\'(89-98.4]\'','\'(-inf-25.5]\'','\'(51.9-58.8]\'','\'(45.515-53.628]\'','\'(22.627-inf)\'','\'(39.954-48.752]\'','\'(-11.75--5.26]\'','\'(-24.016-inf)\'','\'(-34.274--28.912]\'','\'(-20.99--11.715]\'','\'(4.201-inf)\'','\'(-3.992-2.794]\'','\'(-21.081--19.178]\'','\'(-1.865--1.136]\'','\'(-4.54--3.424]\'','\'(-25.606--23.35]\'','\'(-0.994--0.785]\'','\'(-5.09--4.37]\'','\'(-20.936--18.835]\'','\'(-2.868--1.96]\'','\'(-5.594--4.76]\'','h '
'\'(76.6-84.2]\'','\'(-inf-29.8]\'','\'(-inf-54.7]\'','\'(112.2-119.4]\'','\'(48.7-54.4]\'','\'(88.5-94]\'','\'(89-98.4]\'','\'(-inf-25.5]\'','\'(58.8-65.7]\'','\'(29.289-37.402]\'','\'(15.354-22.627]\'','\'(31.156-39.954]\'','\'(-18.24--11.75]\'','\'(-24.016-inf)\'','\'(-34.274--28.912]\'','\'(-30.265--20.99]\'','\'(4.201-inf)\'','\'(-3.992-2.794]\'','\'(-21.081--19.178]\'','\'(-1.865--1.136]\'','\'(-5.656--4.54]\'','\'(-18.838--16.582]\'','\'(-1.203--0.994]\'','\'(-5.09--4.37]\'','\'(-18.835--16.734]\'','\'(-1.96--1.052]\'','\'(-4.76--3.926]\'','h '
'\'(46.2-53.8]\'','\'(29.8-36.6]\'','\'(-inf-54.7]\'','\'(83.4-90.6]\'','\'(-inf-48.7]\'','\'(-inf-88.5]\'','\'(70.2-79.6]\'','\'(-inf-25.5]\'','\'(-inf-51.9]\'','\'(61.741-69.854]\'','\'(15.354-22.627]\'','\'(39.954-48.752]\'','\'(7.72-14.21]\'','\'(-24.016-inf)\'','\'(-28.912-inf)\'','\'(-2.44-6.835]\'','\'(4.201-inf)\'','\'(2.794-inf)\'','\'(-21.081--19.178]\'','\'(-1.136--0.407]\'','\'(-5.656--4.54]\'','\'(-21.094--18.838]\'','\'(-1.203--0.994]\'','\'(-5.09--4.37]\'','\'(-18.835--16.734]\'','\'(-1.96--1.052]\'','\'(-4.76--3.926]\'','d '
'\'(53.8-61.4]\'','\'(-inf-29.8]\'','\'(-inf-54.7]\'','\'(90.6-97.8]\'','\'(48.7-54.4]\'','\'(94-99.5]\'','\'(70.2-79.6]\'','\'(25.5-32]\'','\'(51.9-58.8]\'','\'(53.628-61.741]\'','\'(22.627-inf)\'','\'(39.954-48.752]\'','\'(-5.26-1.23]\'','\'(-29.632--24.016]\'','\'(-39.636--34.274]\'','\'(-2.44-6.835]\'','\'(-2.348-4.201]\'','\'(-3.992-2.794]\'','\'(-19.178--17.275]\'','\'(-0.407-0.322]\'','\'(-3.424--2.308]\'','\'(-21.094--18.838]\'','\'(-0.785--0.576]\'','\'(-3.65--2.93]\'','\'(-16.734--14.633]\'','\'(-1.052--0.144]\'','\'(-3.092--2.258]\'','s '
'\'(46.2-53.8]\'','\'(-inf-29.8]\'','\'(-inf-54.7]\'','\'(76.2-83.4]\'','\'(-inf-48.7]\'','\'(-inf-88.5]\'','\'(79.6-89]\'','\'(-inf-25.5]\'','\'(51.9-58.8]\'','\'(53.628-61.741]\'','\'(15.354-22.627]\'','\'(39.954-48.752]\'','\'(14.21-20.7]\'','\'(-24.016-inf)\'','\'(-28.912-inf)\'','\'(-11.715--2.44]\'','\'(4.201-inf)\'','\'(-3.992-2.794]\'','\'(-21.081--19.178]\'','\'(-1.136--0.407]\'','\'(-5.656--4.54]\'','\'(-21.094--18.838]\'','\'(-1.203--0.994]\'','\'(-5.09--4.37]\'','\'(-18.835--16.734]\'','\'(-1.96--1.052]\'','\'(-4.76--3.926]\'','s '
'\'(61.4-69]\'','\'(-inf-29.8]\'','\'(-inf-54.7]\'','\'(105-112.2]\'','\'(48.7-54.4]\'','\'(88.5-94]\'','\'(79.6-89]\'','\'(-inf-25.5]\'','\'(51.9-58.8]\'','\'(37.402-45.515]\'','\'(22.627-inf)\'','\'(39.954-48.752]\'','\'(-5.26-1.23]\'','\'(-29.632--24.016]\'','\'(-34.274--28.912]\'','\'(-11.715--2.44]\'','\'(4.201-inf)\'','\'(-3.992-2.794]\'','\'(-19.178--17.275]\'','\'(-1.865--1.136]\'','\'(-4.54--3.424]\'','\'(-25.606--23.35]\'','\'(-0.994--0.785]\'','\'(-4.37--3.65]\'','\'(-18.835--16.734]\'','\'(-2.868--1.96]\'','\'(-4.76--3.926]\'','s '
'\'(61.4-69]\'','\'(43.4-50.2]\'','\'(62.4-70.1]\'','\'(105-112.2]\'','\'(65.8-71.5]\'','\'(105-110.5]\'','\'(107.8-117.2]\'','\'(25.5-32]\'','\'(58.8-65.7]\'','\'(37.402-45.515]\'','\'(-6.465-0.808]\'','\'(22.358-31.156]\'','\'(-24.73--18.24]\'','\'(-46.48--40.864]\'','\'(-55.722--50.36]\'','\'(-inf--48.815]\'','\'(-8.897--2.348]\'','\'(-10.778--3.992]\'','\'(-17.275--15.372]\'','\'(0.322-1.051]\'','\'(-3.424--2.308]\'','\'(-14.326-inf)\'','\'(0.051-inf)\'','\'(-1.49-inf)\'','\'(-10.431-inf)\'','\'(-1.052--0.144]\'','\'(-2.258--1.424]\'','d '
'\'(53.8-61.4]\'','\'(57-63.8]\'','\'(85.5-93.2]\'','\'(83.4-90.6]\'','\'(82.9-88.6]\'','\'(121.5-127]\'','\'(60.8-70.2]\'','\'(45-51.5]\'','\'(79.5-86.4]\'','\'(53.628-61.741]\'','\'(-13.738--6.465]\'','\'(-4.036-4.762]\'','\'(1.23-7.72]\'','\'(-63.328--57.712]\'','\'(-71.808--66.446]\'','\'(-2.44-6.835]\'','\'(-28.544--21.995]\'','\'(-31.136--24.35]\'','\'(-17.275--15.372]\'','\'(0.322-1.051]\'','\'(-2.308--1.192]\'','\'(-16.582--14.326]\'','\'(-0.367--0.158]\'','\'(-2.21--1.49]\'','\'(-12.532--10.431]\'','\'(-1.052--0.144]\'','\'(-3.092--2.258]\'','o '
'\'(53.8-61.4]\'','\'(57-63.8]\'','\'(77.8-85.5]\'','\'(-inf-76.2]\'','\'(60.1-65.8]\'','\'(99.5-105]\'','\'(107.8-117.2]\'','\'(38.5-45]\'','\'(79.5-86.4]\'','\'(53.628-61.741]\'','\'(-13.738--6.465]\'','\'(4.762-13.56]\'','\'(20.7-inf)\'','\'(-40.864--35.248]\'','\'(-44.998--39.636]\'','\'(-39.54--30.265]\'','\'(-15.446--8.897]\'','\'(-31.136--24.35]\'','\'(-21.081--19.178]\'','\'(-1.136--0.407]\'','\'(-4.54--3.424]\'','\'(-18.838--16.582]\'','\'(-0.994--0.785]\'','\'(-4.37--3.65]\'','\'(-18.835--16.734]\'','\'(-1.96--1.052]\'','\'(-3.926--3.092]\'','o '
'\'(53.8-61.4]\'','\'(-inf-29.8]\'','\'(-inf-54.7]\'','\'(97.8-105]\'','\'(48.7-54.4]\'','\'(88.5-94]\'','\'(79.6-89]\'','\'(-inf-25.5]\'','\'(51.9-58.8]\'','\'(53.628-61.741]\'','\'(22.627-inf)\'','\'(39.954-48.752]\'','\'(-5.26-1.23]\'','\'(-29.632--24.016]\'','\'(-34.274--28.912]\'','\'(-11.715--2.44]\'','\'(4.201-inf)\'','\'(-3.992-2.794]\'','\'(-19.178--17.275]\'','\'(-1.865--1.136]\'','\'(-4.54--3.424]\'','\'(-23.35--21.094]\'','\'(-0.994--0.785]\'','\'(-5.09--4.37]\'','\'(-18.835--16.734]\'','\'(-2.868--1.96]\'','\'(-5.594--4.76]\'','s '
'\'(69-76.6]\'','\'(77.4-84.2]\'','\'(100.9-108.6]\'','\'(97.8-105]\'','\'(94.3-inf)\'','\'(132.5-inf)\'','\'(89-98.4]\'','\'(58-64.5]\'','\'(93.3-100.2]\'','\'(37.402-45.515]\'','\'(-35.557--28.284]\'','\'(-12.834--4.036]\'','\'(-5.26-1.23]\'','\'(-inf--68.944]\'','\'(-inf--71.808]\'','\'(-20.99--11.715]\'','\'(-35.093--28.544]\'','\'(-44.708--37.922]\'','\'(-22.984--21.081]\'','\'(-1.865--1.136]\'','\'(-5.656--4.54]\'','\'(-25.606--23.35]\'','\'(-0.785--0.576]\'','\'(-5.09--4.37]\'','\'(-23.037--20.936]\'','\'(-2.868--1.96]\'','\'(-5.594--4.76]\'','o '
'\'(38.6-46.2]\'','\'(29.8-36.6]\'','\'(-inf-54.7]\'','\'(90.6-97.8]\'','\'(54.4-60.1]\'','\'(94-99.5]\'','\'(70.2-79.6]\'','\'(-inf-25.5]\'','\'(51.9-58.8]\'','\'(61.741-69.854]\'','\'(15.354-22.627]\'','\'(39.954-48.752]\'','\'(1.23-7.72]\'','\'(-35.248--29.632]\'','\'(-39.636--34.274]\'','\'(-11.715--2.44]\'','\'(4.201-inf)\'','\'(-3.992-2.794]\'','\'(-17.275--15.372]\'','\'(-0.407-0.322]\'','\'(-3.424--2.308]\'','\'(-21.094--18.838]\'','\'(-0.576--0.367]\'','\'(-2.93--2.21]\'','\'(-14.633--12.532]\'','\'(-1.96--1.052]\'','\'(-3.926--3.092]\'','d '
'\'(46.2-53.8]\'','\'(36.6-43.4]\'','\'(62.4-70.1]\'','\'(90.6-97.8]\'','\'(65.8-71.5]\'','\'(99.5-105]\'','\'(107.8-117.2]\'','\'(25.5-32]\'','\'(58.8-65.7]\'','\'(61.741-69.854]\'','\'(8.081-15.354]\'','\'(22.358-31.156]\'','\'(-5.26-1.23]\'','\'(-46.48--40.864]\'','\'(-44.998--39.636]\'','\'(-39.54--30.265]\'','\'(-2.348-4.201]\'','\'(-10.778--3.992]\'','\'(-21.081--19.178]\'','\'(-1.136--0.407]\'','\'(-5.656--4.54]\'','\'(-18.838--16.582]\'','\'(-1.203--0.994]\'','\'(-5.09--4.37]\'','\'(-18.835--16.734]\'','\'(-1.96--1.052]\'','\'(-3.926--3.092]\'','d '
'\'(53.8-61.4]\'','\'(29.8-36.6]\'','\'(54.7-62.4]\'','\'(90.6-97.8]\'','\'(48.7-54.4]\'','\'(-inf-88.5]\'','\'(70.2-79.6]\'','\'(-inf-25.5]\'','\'(51.9-58.8]\'','\'(45.515-53.628]\'','\'(8.081-15.354]\'','\'(31.156-39.954]\'','\'(1.23-7.72]\'','\'(-29.632--24.016]\'','\'(-28.912-inf)\'','\'(-2.44-6.835]\'','\'(4.201-inf)\'','\'(-3.992-2.794]\'','\'(-21.081--19.178]\'','\'(-1.136--0.407]\'','\'(-5.656--4.54]\'','\'(-21.094--18.838]\'','\'(-1.203--0.994]\'','\'(-5.09--4.37]\'','\'(-18.835--16.734]\'','\'(-1.96--1.052]\'','\'(-4.76--3.926]\'','s '
'\'(38.6-46.2]\'','\'(29.8-36.6]\'','\'(-inf-54.7]\'','\'(90.6-97.8]\'','\'(48.7-54.4]\'','\'(94-99.5]\'','\'(79.6-89]\'','\'(-inf-25.5]\'','\'(51.9-58.8]\'','\'(69.854-77.967]\'','\'(15.354-22.627]\'','\'(39.954-48.752]\'','\'(7.72-14.21]\'','\'(-29.632--24.016]\'','\'(-39.636--34.274]\'','\'(-11.715--2.44]\'','\'(4.201-inf)\'','\'(-3.992-2.794]\'','\'(-22.984--21.081]\'','\'(-1.136--0.407]\'','\'(-5.656--4.54]\'','\'(-27.862--25.606]\'','\'(-0.994--0.785]\'','\'(-5.81--5.09]\'','\'(-23.037--20.936]\'','\'(-2.868--1.96]\'','\'(-5.594--4.76]\'','d '
'\'(61.4-69]\'','\'(63.8-70.6]\'','\'(85.5-93.2]\'','\'(105-112.2]\'','\'(65.8-71.5]\'','\'(110.5-116]\'','\'(98.4-107.8]\'','\'(38.5-45]\'','\'(72.6-79.5]\'','\'(45.515-53.628]\'','\'(-21.011--13.738]\'','\'(4.762-13.56]\'','\'(-18.24--11.75]\'','\'(-46.48--40.864]\'','\'(-55.722--50.36]\'','\'(-30.265--20.99]\'','\'(-15.446--8.897]\'','\'(-24.35--17.564]\'','\'(-21.081--19.178]\'','\'(-1.136--0.407]\'','\'(-3.424--2.308]\'','\'(-23.35--21.094]\'','\'(-0.785--0.576]\'','\'(-3.65--2.93]\'','\'(-18.835--16.734]\'','\'(-1.052--0.144]\'','\'(-3.926--3.092]\'','o '
'\'(61.4-69]\'','\'(63.8-70.6]\'','\'(77.8-85.5]\'','\'(90.6-97.8]\'','\'(77.2-82.9]\'','\'(110.5-116]\'','\'(107.8-117.2]\'','\'(32-38.5]\'','\'(72.6-79.5]\'','\'(45.515-53.628]\'','\'(-21.011--13.738]\'','\'(4.762-13.56]\'','\'(-5.26-1.23]\'','\'(-57.712--52.096]\'','\'(-55.722--50.36]\'','\'(-39.54--30.265]\'','\'(-15.446--8.897]\'','\'(-24.35--17.564]\'','\'(-19.178--17.275]\'','\'(-0.407-0.322]\'','\'(-3.424--2.308]\'','\'(-21.094--18.838]\'','\'(-0.576--0.367]\'','\'(-3.65--2.93]\'','\'(-16.734--14.633]\'','\'(-1.052--0.144]\'','\'(-3.092--2.258]\'','o '
