X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,language
'\'(5.84101-8.222778]\'','\'(-3.846726--1.992353]\'','\'(-1.535969-0.789338]\'','\'(3.667355-6.169673]\'','\'(-8.585775--6.228834]\'','\'(8.958437-11.455917]\'','\'(-13.871502--12.377339]\'','\'(3.814116-5.48611]\'','\'(-1.3003-0.729796]\'','\'(-3.102488--0.326925]\'','\'(4.600032-6.883049]\'','\'(-9.927397--8.029043]\'',GE
'\'(1.077473-3.459242]\'','\'(-1.992353--0.137981]\'','\'(0.789338-3.114645]\'','\'(3.667355-6.169673]\'','\'(-8.585775--6.228834]\'','\'(8.958437-11.455917]\'','\'(-13.871502--12.377339]\'','\'(5.48611-7.158105]\'','\'(-1.3003-0.729796]\'','\'(-5.878051--3.102488]\'','\'(2.317015-4.600032]\'','\'(-9.927397--8.029043]\'',GE
'\'(3.459242-5.84101]\'','\'(-0.137981-1.716392]\'','\'(0.789338-3.114645]\'','\'(1.165038-3.667355]\'','\'(-8.585775--6.228834]\'','\'(11.455917-13.953397]\'','\'(-12.377339--10.883176]\'','\'(5.48611-7.158105]\'','\'(-1.3003-0.729796]\'','\'(-3.102488--0.326925]\'','\'(2.317015-4.600032]\'','\'(-6.13069--4.232337]\'',GE
'\'(5.84101-8.222778]\'','\'(-1.992353--0.137981]\'','\'(0.789338-3.114645]\'','\'(3.667355-6.169673]\'','\'(-8.585775--6.228834]\'','\'(11.455917-13.953397]\'','\'(-13.871502--12.377339]\'','\'(5.48611-7.158105]\'','\'(-1.3003-0.729796]\'','\'(-5.878051--3.102488]\'','\'(4.600032-6.883049]\'','\'(-8.029043--6.13069]\'',GE
'\'(3.459242-5.84101]\'','\'(-3.846726--1.992353]\'','\'(0.789338-3.114645]\'','\'(3.667355-6.169673]\'','\'(-8.585775--6.228834]\'','\'(8.958437-11.455917]\'','\'(-13.871502--12.377339]\'','\'(5.48611-7.158105]\'','\'(-1.3003-0.729796]\'','\'(-3.102488--0.326925]\'','\'(4.600032-6.883049]\'','\'(-9.927397--8.029043]\'',GE
'\'(3.459242-5.84101]\'','\'(-5.701099--3.846726]\'','\'(3.114645-5.439952]\'','\'(3.667355-6.169673]\'','\'(-6.228834--3.871894]\'','\'(11.455917-13.953397]\'','\'(-10.883176--9.389012]\'','\'(2.142121-3.814116]\'','\'(0.729796-2.759893]\'','\'(-3.102488--0.326925]\'','\'(4.600032-6.883049]\'','\'(-2.333984--0.43563]\'',GE
'\'(5.84101-8.222778]\'','\'(-3.846726--1.992353]\'','\'(0.789338-3.114645]\'','\'(3.667355-6.169673]\'','\'(-10.942715--8.585775]\'','\'(8.958437-11.455917]\'','\'(-10.883176--9.389012]\'','\'(3.814116-5.48611]\'','\'(-1.3003-0.729796]\'','\'(-5.878051--3.102488]\'','\'(4.600032-6.883049]\'','\'(-4.232337--2.333984]\'',GE
'\'(5.84101-8.222778]\'','\'(-0.137981-1.716392]\'','\'(-1.535969-0.789338]\'','\'(6.169673-8.67199]\'','\'(-6.228834--3.871894]\'','\'(8.958437-11.455917]\'','\'(-10.883176--9.389012]\'','\'(3.814116-5.48611]\'','\'(0.729796-2.759893]\'','\'(-3.102488--0.326925]\'','\'(0.033998-2.317015]\'','\'(-6.13069--4.232337]\'',GE
'\'(5.84101-8.222778]\'','\'(-0.137981-1.716392]\'','\'(-3.861276--1.535969]\'','\'(3.667355-6.169673]\'','\'(-10.942715--8.585775]\'','\'(8.958437-11.455917]\'','\'(-10.883176--9.389012]\'','\'(5.48611-7.158105]\'','\'(0.729796-2.759893]\'','\'(-5.878051--3.102488]\'','\'(2.317015-4.600032]\'','\'(-6.13069--4.232337]\'',GE
'\'(-1.304295-1.077473]\'','\'(-1.992353--0.137981]\'','\'(-3.861276--1.535969]\'','\'(3.667355-6.169673]\'','\'(-6.228834--3.871894]\'','\'(8.958437-11.455917]\'','\'(-10.883176--9.389012]\'','\'(5.48611-7.158105]\'','\'(0.729796-2.759893]\'','\'(-3.102488--0.326925]\'','\'(2.317015-4.600032]\'','\'(-4.232337--2.333984]\'',GE
'\'(5.84101-8.222778]\'','\'(-5.701099--3.846726]\'','\'(0.789338-3.114645]\'','\'(6.169673-8.67199]\'','\'(-6.228834--3.871894]\'','\'(11.455917-13.953397]\'','\'(-12.377339--10.883176]\'','\'(2.142121-3.814116]\'','\'(-1.3003-0.729796]\'','\'(-3.102488--0.326925]\'','\'(2.317015-4.600032]\'','\'(-8.029043--6.13069]\'',GE
'\'(3.459242-5.84101]\'','\'(-3.846726--1.992353]\'','\'(-1.535969-0.789338]\'','\'(6.169673-8.67199]\'','\'(-8.585775--6.228834]\'','\'(11.455917-13.953397]\'','\'(-9.389012--7.894849]\'','\'(2.142121-3.814116]\'','\'(-1.3003-0.729796]\'','\'(-5.878051--3.102488]\'','\'(2.317015-4.600032]\'','\'(-4.232337--2.333984]\'',GE
'\'(5.84101-8.222778]\'','\'(-3.846726--1.992353]\'','\'(0.789338-3.114645]\'','\'(6.169673-8.67199]\'','\'(-8.585775--6.228834]\'','\'(11.455917-13.953397]\'','\'(-10.883176--9.389012]\'','\'(3.814116-5.48611]\'','\'(-1.3003-0.729796]\'','\'(-5.878051--3.102488]\'','\'(4.600032-6.883049]\'','\'(-6.13069--4.232337]\'',GE
'\'(1.077473-3.459242]\'','\'(-1.992353--0.137981]\'','\'(-3.861276--1.535969]\'','\'(1.165038-3.667355]\'','\'(-8.585775--6.228834]\'','\'(8.958437-11.455917]\'','\'(-12.377339--10.883176]\'','\'(5.48611-7.158105]\'','\'(-1.3003-0.729796]\'','\'(-3.102488--0.326925]\'','\'(2.317015-4.600032]\'','\'(-4.232337--2.333984]\'',GE
'\'(-3.686063--1.304295]\'','\'(-0.137981-1.716392]\'','\'(-3.861276--1.535969]\'','\'(6.169673-8.67199]\'','\'(-3.871894--1.514953]\'','\'(8.958437-11.455917]\'','\'(-10.883176--9.389012]\'','\'(3.814116-5.48611]\'','\'(-3.330396--1.3003]\'','\'(-3.102488--0.326925]\'','\'(2.317015-4.600032]\'','\'(-4.232337--2.333984]\'',GE
'\'(5.84101-8.222778]\'','\'(-3.846726--1.992353]\'','\'(-1.535969-0.789338]\'','\'(6.169673-8.67199]\'','\'(-8.585775--6.228834]\'','\'(11.455917-13.953397]\'','\'(-10.883176--9.389012]\'','\'(3.814116-5.48611]\'','\'(-1.3003-0.729796]\'','\'(-5.878051--3.102488]\'','\'(2.317015-4.600032]\'','\'(-4.232337--2.333984]\'',GE
'\'(1.077473-3.459242]\'','\'(-1.992353--0.137981]\'','\'(0.789338-3.114645]\'','\'(6.169673-8.67199]\'','\'(-6.228834--3.871894]\'','\'(11.455917-13.953397]\'','\'(-9.389012--7.894849]\'','\'(3.814116-5.48611]\'','\'(-1.3003-0.729796]\'','\'(-3.102488--0.326925]\'','\'(2.317015-4.600032]\'','\'(-2.333984--0.43563]\'',GE
'\'(1.077473-3.459242]\'','\'(-1.992353--0.137981]\'','\'(0.789338-3.114645]\'','\'(3.667355-6.169673]\'','\'(-8.585775--6.228834]\'','\'(8.958437-11.455917]\'','\'(-10.883176--9.389012]\'','\'(3.814116-5.48611]\'','\'(-1.3003-0.729796]\'','\'(-3.102488--0.326925]\'','\'(2.317015-4.600032]\'','\'(-4.232337--2.333984]\'',GE
'\'(5.84101-8.222778]\'','\'(-3.846726--1.992353]\'','\'(0.789338-3.114645]\'','\'(3.667355-6.169673]\'','\'(-6.228834--3.871894]\'','\'(11.455917-13.953397]\'','\'(-10.883176--9.389012]\'','\'(3.814116-5.48611]\'','\'(-1.3003-0.729796]\'','\'(-3.102488--0.326925]\'','\'(2.317015-4.600032]\'','\'(-6.13069--4.232337]\'',GE
'\'(3.459242-5.84101]\'','\'(-11.264217--9.409844]\'','\'(5.439952-7.765259]\'','\'(1.165038-3.667355]\'','\'(-10.942715--8.585775]\'','\'(11.455917-13.953397]\'','\'(-9.389012--7.894849]\'','\'(3.814116-5.48611]\'','\'(-5.360492--3.330396]\'','\'(-5.878051--3.102488]\'','\'(4.600032-6.883049]\'','\'(-4.232337--2.333984]\'',GE
'\'(-3.686063--1.304295]\'','\'(-3.846726--1.992353]\'','\'(3.114645-5.439952]\'','\'(6.169673-8.67199]\'','\'(-8.585775--6.228834]\'','\'(6.460956-8.958437]\'','\'(-12.377339--10.883176]\'','\'(2.142121-3.814116]\'','\'(-1.3003-0.729796]\'','\'(-3.102488--0.326925]\'','\'(0.033998-2.317015]\'','\'(-2.333984--0.43563]\'',IT
'\'(1.077473-3.459242]\'','\'(-5.701099--3.846726]\'','\'(0.789338-3.114645]\'','\'(6.169673-8.67199]\'','\'(-10.942715--8.585775]\'','\'(6.460956-8.958437]\'','\'(-12.377339--10.883176]\'','\'(0.470127-2.142121]\'','\'(0.729796-2.759893]\'','\'(-5.878051--3.102488]\'','\'(-2.249019-0.033998]\'','\'(-0.43563-1.462723]\'',IT
'\'(1.077473-3.459242]\'','\'(-7.555472--5.701099]\'','\'(3.114645-5.439952]\'','\'(6.169673-8.67199]\'','\'(-10.942715--8.585775]\'','\'(8.958437-11.455917]\'','\'(-12.377339--10.883176]\'','\'(0.470127-2.142121]\'','\'(-1.3003-0.729796]\'','\'(-5.878051--3.102488]\'','\'(-2.249019-0.033998]\'','\'(-4.232337--2.333984]\'',IT
'\'(3.459242-5.84101]\'','\'(-5.701099--3.846726]\'','\'(3.114645-5.439952]\'','\'(3.667355-6.169673]\'','\'(-13.299656--10.942715]\'','\'(8.958437-11.455917]\'','\'(-12.377339--10.883176]\'','\'(3.814116-5.48611]\'','\'(-1.3003-0.729796]\'','\'(-5.878051--3.102488]\'','\'(-2.249019-0.033998]\'','\'(-4.232337--2.333984]\'',IT
'\'(-1.304295-1.077473]\'','\'(-3.846726--1.992353]\'','\'(0.789338-3.114645]\'','\'(3.667355-6.169673]\'','\'(-8.585775--6.228834]\'','\'(8.958437-11.455917]\'','\'(-10.883176--9.389012]\'','\'(2.142121-3.814116]\'','\'(-3.330396--1.3003]\'','\'(-3.102488--0.326925]\'','\'(0.033998-2.317015]\'','\'(-6.13069--4.232337]\'',IT
'\'(3.459242-5.84101]\'','\'(-7.555472--5.701099]\'','\'(5.439952-7.765259]\'','\'(3.667355-6.169673]\'','\'(-13.299656--10.942715]\'','\'(8.958437-11.455917]\'','\'(-12.377339--10.883176]\'','\'(0.470127-2.142121]\'','\'(-3.330396--1.3003]\'','\'(-3.102488--0.326925]\'','\'(-2.249019-0.033998]\'','\'(-6.13069--4.232337]\'',IT
'\'(-1.304295-1.077473]\'','\'(-3.846726--1.992353]\'','\'(3.114645-5.439952]\'','\'(3.667355-6.169673]\'','\'(-10.942715--8.585775]\'','\'(8.958437-11.455917]\'','\'(-12.377339--10.883176]\'','\'(3.814116-5.48611]\'','\'(-3.330396--1.3003]\'','\'(-5.878051--3.102488]\'','\'(-2.249019-0.033998]\'','\'(-6.13069--4.232337]\'',IT
'\'(1.077473-3.459242]\'','\'(-1.992353--0.137981]\'','\'(-1.535969-0.789338]\'','\'(3.667355-6.169673]\'','\'(-10.942715--8.585775]\'','\'(6.460956-8.958437]\'','\'(-12.377339--10.883176]\'','\'(2.142121-3.814116]\'','\'(-1.3003-0.729796]\'','\'(-5.878051--3.102488]\'','\'(0.033998-2.317015]\'','\'(-2.333984--0.43563]\'',IT
'\'(3.459242-5.84101]\'','\'(1.716392-inf)\'','\'(0.789338-3.114645]\'','\'(11.174308-13.676625]\'','\'(-10.942715--8.585775]\'','\'(6.460956-8.958437]\'','\'(-9.389012--7.894849]\'','\'(2.142121-3.814116]\'','\'(-1.3003-0.729796]\'','\'(-5.878051--3.102488]\'','\'(-2.249019-0.033998]\'','\'(-4.232337--2.333984]\'',IT
'\'(1.077473-3.459242]\'','\'(-0.137981-1.716392]\'','\'(-1.535969-0.789338]\'','\'(1.165038-3.667355]\'','\'(-13.299656--10.942715]\'','\'(11.455917-13.953397]\'','\'(-9.389012--7.894849]\'','\'(5.48611-7.158105]\'','\'(-1.3003-0.729796]\'','\'(-3.102488--0.326925]\'','\'(2.317015-4.600032]\'','\'(-2.333984--0.43563]\'',IT
'\'(-1.304295-1.077473]\'','\'(-1.992353--0.137981]\'','\'(0.789338-3.114645]\'','\'(6.169673-8.67199]\'','\'(-8.585775--6.228834]\'','\'(6.460956-8.958437]\'','\'(-12.377339--10.883176]\'','\'(3.814116-5.48611]\'','\'(-1.3003-0.729796]\'','\'(-5.878051--3.102488]\'','\'(-2.249019-0.033998]\'','\'(-2.333984--0.43563]\'',IT
'\'(-inf--3.686063]\'','\'(-0.137981-1.716392]\'','\'(-1.535969-0.789338]\'','\'(1.165038-3.667355]\'','\'(-8.585775--6.228834]\'','\'(8.958437-11.455917]\'','\'(-9.389012--7.894849]\'','\'(5.48611-7.158105]\'','\'(-3.330396--1.3003]\'','\'(-3.102488--0.326925]\'','\'(-2.249019-0.033998]\'','\'(-4.232337--2.333984]\'',IT
'\'(1.077473-3.459242]\'','\'(-1.992353--0.137981]\'','\'(-1.535969-0.789338]\'','\'(6.169673-8.67199]\'','\'(-10.942715--8.585775]\'','\'(6.460956-8.958437]\'','\'(-10.883176--9.389012]\'','\'(2.142121-3.814116]\'','\'(-1.3003-0.729796]\'','\'(-5.878051--3.102488]\'','\'(0.033998-2.317015]\'','\'(-2.333984--0.43563]\'',IT
'\'(1.077473-3.459242]\'','\'(-0.137981-1.716392]\'','\'(-1.535969-0.789338]\'','\'(6.169673-8.67199]\'','\'(-10.942715--8.585775]\'','\'(6.460956-8.958437]\'','\'(-10.883176--9.389012]\'','\'(0.470127-2.142121]\'','\'(-1.3003-0.729796]\'','\'(-3.102488--0.326925]\'','\'(0.033998-2.317015]\'','\'(-4.232337--2.333984]\'',IT
'\'(3.459242-5.84101]\'','\'(-1.992353--0.137981]\'','\'(-1.535969-0.789338]\'','\'(6.169673-8.67199]\'','\'(-10.942715--8.585775]\'','\'(6.460956-8.958437]\'','\'(-9.389012--7.894849]\'','\'(0.470127-2.142121]\'','\'(-1.3003-0.729796]\'','\'(-5.878051--3.102488]\'','\'(0.033998-2.317015]\'','\'(-0.43563-1.462723]\'',IT
'\'(10.604546-12.986315]\'','\'(-9.409844--7.555472]\'','\'(-1.535969-0.789338]\'','\'(11.174308-13.676625]\'','\'(-6.228834--3.871894]\'','\'(13.953397-16.450877]\'','\'(-12.377339--10.883176]\'','\'(2.142121-3.814116]\'','\'(-5.360492--3.330396]\'','\'(-3.102488--0.326925]\'','\'(6.883049-inf)\'','\'(-9.927397--8.029043]\'',IT
'\'(-1.304295-1.077473]\'','\'(-0.137981-1.716392]\'','\'(-3.861276--1.535969]\'','\'(6.169673-8.67199]\'','\'(-3.871894--1.514953]\'','\'(11.455917-13.953397]\'','\'(-10.883176--9.389012]\'','\'(5.48611-7.158105]\'','\'(-1.3003-0.729796]\'','\'(-3.102488--0.326925]\'','\'(2.317015-4.600032]\'','\'(-6.13069--4.232337]\'',IT
'\'(-1.304295-1.077473]\'','\'(-1.992353--0.137981]\'','\'(-1.535969-0.789338]\'','\'(3.667355-6.169673]\'','\'(-6.228834--3.871894]\'','\'(8.958437-11.455917]\'','\'(-10.883176--9.389012]\'','\'(5.48611-7.158105]\'','\'(-3.330396--1.3003]\'','\'(-5.878051--3.102488]\'','\'(4.600032-6.883049]\'','\'(-4.232337--2.333984]\'',IT
'\'(-inf--3.686063]\'','\'(-0.137981-1.716392]\'','\'(-1.535969-0.789338]\'','\'(8.67199-11.174308]\'','\'(-3.871894--1.514953]\'','\'(8.958437-11.455917]\'','\'(-10.883176--9.389012]\'','\'(5.48611-7.158105]\'','\'(-1.3003-0.729796]\'','\'(-0.326925-2.448638]\'','\'(2.317015-4.600032]\'','\'(-4.232337--2.333984]\'',IT
'\'(1.077473-3.459242]\'','\'(-3.846726--1.992353]\'','\'(0.789338-3.114645]\'','\'(6.169673-8.67199]\'','\'(-6.228834--3.871894]\'','\'(11.455917-13.953397]\'','\'(-9.389012--7.894849]\'','\'(3.814116-5.48611]\'','\'(-1.3003-0.729796]\'','\'(-3.102488--0.326925]\'','\'(2.317015-4.600032]\'','\'(-2.333984--0.43563]\'',IT
'\'(-1.304295-1.077473]\'','\'(-0.137981-1.716392]\'','\'(-3.861276--1.535969]\'','\'(6.169673-8.67199]\'','\'(-6.228834--3.871894]\'','\'(11.455917-13.953397]\'','\'(-7.894849--6.400686]\'','\'(5.48611-7.158105]\'','\'(-1.3003-0.729796]\'','\'(-3.102488--0.326925]\'','\'(0.033998-2.317015]\'','\'(-6.13069--4.232337]\'',IT
'\'(-3.686063--1.304295]\'','\'(1.716392-inf)\'','\'(-1.535969-0.789338]\'','\'(6.169673-8.67199]\'','\'(-3.871894--1.514953]\'','\'(8.958437-11.455917]\'','\'(-9.389012--7.894849]\'','\'(5.48611-7.158105]\'','\'(-3.330396--1.3003]\'','\'(-3.102488--0.326925]\'','\'(4.600032-6.883049]\'','\'(-4.232337--2.333984]\'',IT
'\'(-inf--3.686063]\'','\'(-3.846726--1.992353]\'','\'(0.789338-3.114645]\'','\'(3.667355-6.169673]\'','\'(-3.871894--1.514953]\'','\'(8.958437-11.455917]\'','\'(-12.377339--10.883176]\'','\'(2.142121-3.814116]\'','\'(-3.330396--1.3003]\'','\'(-3.102488--0.326925]\'','\'(2.317015-4.600032]\'','\'(-6.13069--4.232337]\'',IT
'\'(1.077473-3.459242]\'','\'(-7.555472--5.701099]\'','\'(3.114645-5.439952]\'','\'(8.67199-11.174308]\'','\'(-6.228834--3.871894]\'','\'(11.455917-13.953397]\'','\'(-12.377339--10.883176]\'','\'(5.48611-7.158105]\'','\'(-1.3003-0.729796]\'','\'(-3.102488--0.326925]\'','\'(4.600032-6.883049]\'','\'(-8.029043--6.13069]\'',IT
'\'(-1.304295-1.077473]\'','\'(-0.137981-1.716392]\'','\'(-1.535969-0.789338]\'','\'(3.667355-6.169673]\'','\'(-6.228834--3.871894]\'','\'(11.455917-13.953397]\'','\'(-12.377339--10.883176]\'','\'(7.158105-8.830099]\'','\'(-3.330396--1.3003]\'','\'(-5.878051--3.102488]\'','\'(2.317015-4.600032]\'','\'(-6.13069--4.232337]\'',IT
'\'(-1.304295-1.077473]\'','\'(-0.137981-1.716392]\'','\'(-1.535969-0.789338]\'','\'(8.67199-11.174308]\'','\'(-3.871894--1.514953]\'','\'(11.455917-13.953397]\'','\'(-10.883176--9.389012]\'','\'(5.48611-7.158105]\'','\'(-1.3003-0.729796]\'','\'(-3.102488--0.326925]\'','\'(2.317015-4.600032]\'','\'(-6.13069--4.232337]\'',IT
'\'(-3.686063--1.304295]\'','\'(-1.992353--0.137981]\'','\'(-1.535969-0.789338]\'','\'(6.169673-8.67199]\'','\'(-3.871894--1.514953]\'','\'(8.958437-11.455917]\'','\'(-12.377339--10.883176]\'','\'(5.48611-7.158105]\'','\'(-1.3003-0.729796]\'','\'(-3.102488--0.326925]\'','\'(2.317015-4.600032]\'','\'(-4.232337--2.333984]\'',IT
'\'(3.459242-5.84101]\'','\'(-5.701099--3.846726]\'','\'(-1.535969-0.789338]\'','\'(8.67199-11.174308]\'','\'(-6.228834--3.871894]\'','\'(11.455917-13.953397]\'','\'(-10.883176--9.389012]\'','\'(3.814116-5.48611]\'','\'(-1.3003-0.729796]\'','\'(-3.102488--0.326925]\'','\'(2.317015-4.600032]\'','\'(-6.13069--4.232337]\'',IT
'\'(-3.686063--1.304295]\'','\'(1.716392-inf)\'','\'(-3.861276--1.535969]\'','\'(3.667355-6.169673]\'','\'(-3.871894--1.514953]\'','\'(6.460956-8.958437]\'','\'(-12.377339--10.883176]\'','\'(3.814116-5.48611]\'','\'(-3.330396--1.3003]\'','\'(-5.878051--3.102488]\'','\'(4.600032-6.883049]\'','\'(-4.232337--2.333984]\'',IT
'\'(3.459242-5.84101]\'','\'(-5.701099--3.846726]\'','\'(3.114645-5.439952]\'','\'(8.67199-11.174308]\'','\'(-6.228834--3.871894]\'','\'(11.455917-13.953397]\'','\'(-13.871502--12.377339]\'','\'(3.814116-5.48611]\'','\'(-1.3003-0.729796]\'','\'(-3.102488--0.326925]\'','\'(4.600032-6.883049]\'','\'(-8.029043--6.13069]\'',IT
'\'(1.077473-3.459242]\'','\'(-7.555472--5.701099]\'','\'(3.114645-5.439952]\'','\'(6.169673-8.67199]\'','\'(-10.942715--8.585775]\'','\'(6.460956-8.958437]\'','\'(-12.377339--10.883176]\'','\'(2.142121-3.814116]\'','\'(-1.3003-0.729796]\'','\'(-5.878051--3.102488]\'','\'(-2.249019-0.033998]\'','\'(-6.13069--4.232337]\'',UK
'\'(3.459242-5.84101]\'','\'(-3.846726--1.992353]\'','\'(-1.535969-0.789338]\'','\'(8.67199-11.174308]\'','\'(-8.585775--6.228834]\'','\'(8.958437-11.455917]\'','\'(-10.883176--9.389012]\'','\'(0.470127-2.142121]\'','\'(-1.3003-0.729796]\'','\'(-5.878051--3.102488]\'','\'(0.033998-2.317015]\'','\'(-6.13069--4.232337]\'',UK
'\'(1.077473-3.459242]\'','\'(-5.701099--3.846726]\'','\'(3.114645-5.439952]\'','\'(8.67199-11.174308]\'','\'(-8.585775--6.228834]\'','\'(8.958437-11.455917]\'','\'(-10.883176--9.389012]\'','\'(3.814116-5.48611]\'','\'(0.729796-2.759893]\'','\'(-5.878051--3.102488]\'','\'(0.033998-2.317015]\'','\'(-6.13069--4.232337]\'',UK
'\'(3.459242-5.84101]\'','\'(-1.992353--0.137981]\'','\'(-1.535969-0.789338]\'','\'(6.169673-8.67199]\'','\'(-8.585775--6.228834]\'','\'(11.455917-13.953397]\'','\'(-10.883176--9.389012]\'','\'(3.814116-5.48611]\'','\'(0.729796-2.759893]\'','\'(-5.878051--3.102488]\'','\'(2.317015-4.600032]\'','\'(-6.13069--4.232337]\'',UK
'\'(5.84101-8.222778]\'','\'(-0.137981-1.716392]\'','\'(-1.535969-0.789338]\'','\'(6.169673-8.67199]\'','\'(-10.942715--8.585775]\'','\'(11.455917-13.953397]\'','\'(-7.894849--6.400686]\'','\'(3.814116-5.48611]\'','\'(-1.3003-0.729796]\'','\'(-5.878051--3.102488]\'','\'(2.317015-4.600032]\'','\'(-8.029043--6.13069]\'',UK
'\'(3.459242-5.84101]\'','\'(-3.846726--1.992353]\'','\'(0.789338-3.114645]\'','\'(8.67199-11.174308]\'','\'(-8.585775--6.228834]\'','\'(8.958437-11.455917]\'','\'(-10.883176--9.389012]\'','\'(2.142121-3.814116]\'','\'(0.729796-2.759893]\'','\'(-5.878051--3.102488]\'','\'(0.033998-2.317015]\'','\'(-6.13069--4.232337]\'',UK
'\'(-1.304295-1.077473]\'','\'(-0.137981-1.716392]\'','\'(-1.535969-0.789338]\'','\'(8.67199-11.174308]\'','\'(-6.228834--3.871894]\'','\'(8.958437-11.455917]\'','\'(-10.883176--9.389012]\'','\'(0.470127-2.142121]\'','\'(0.729796-2.759893]\'','\'(-3.102488--0.326925]\'','\'(0.033998-2.317015]\'','\'(-6.13069--4.232337]\'',UK
'\'(3.459242-5.84101]\'','\'(-5.701099--3.846726]\'','\'(-1.535969-0.789338]\'','\'(6.169673-8.67199]\'','\'(-8.585775--6.228834]\'','\'(8.958437-11.455917]\'','\'(-10.883176--9.389012]\'','\'(3.814116-5.48611]\'','\'(-1.3003-0.729796]\'','\'(-5.878051--3.102488]\'','\'(0.033998-2.317015]\'','\'(-8.029043--6.13069]\'',UK
'\'(3.459242-5.84101]\'','\'(-5.701099--3.846726]\'','\'(3.114645-5.439952]\'','\'(11.174308-13.676625]\'','\'(-8.585775--6.228834]\'','\'(8.958437-11.455917]\'','\'(-10.883176--9.389012]\'','\'(2.142121-3.814116]\'','\'(-1.3003-0.729796]\'','\'(-8.653615--5.878051]\'','\'(-2.249019-0.033998]\'','\'(-8.029043--6.13069]\'',UK
'\'(-1.304295-1.077473]\'','\'(-7.555472--5.701099]\'','\'(0.789338-3.114645]\'','\'(1.165038-3.667355]\'','\'(-8.585775--6.228834]\'','\'(8.958437-11.455917]\'','\'(-12.377339--10.883176]\'','\'(3.814116-5.48611]\'','\'(-1.3003-0.729796]\'','\'(-3.102488--0.326925]\'','\'(0.033998-2.317015]\'','\'(-6.13069--4.232337]\'',UK
'\'(5.84101-8.222778]\'','\'(-1.992353--0.137981]\'','\'(-1.535969-0.789338]\'','\'(8.67199-11.174308]\'','\'(-8.585775--6.228834]\'','\'(11.455917-13.953397]\'','\'(-9.389012--7.894849]\'','\'(2.142121-3.814116]\'','\'(-1.3003-0.729796]\'','\'(-5.878051--3.102488]\'','\'(2.317015-4.600032]\'','\'(-6.13069--4.232337]\'',UK
'\'(1.077473-3.459242]\'','\'(-5.701099--3.846726]\'','\'(-1.535969-0.789338]\'','\'(8.67199-11.174308]\'','\'(-6.228834--3.871894]\'','\'(11.455917-13.953397]\'','\'(-10.883176--9.389012]\'','\'(3.814116-5.48611]\'','\'(-1.3003-0.729796]\'','\'(-5.878051--3.102488]\'','\'(0.033998-2.317015]\'','\'(-4.232337--2.333984]\'',UK
'\'(3.459242-5.84101]\'','\'(-7.555472--5.701099]\'','\'(0.789338-3.114645]\'','\'(8.67199-11.174308]\'','\'(-8.585775--6.228834]\'','\'(8.958437-11.455917]\'','\'(-10.883176--9.389012]\'','\'(0.470127-2.142121]\'','\'(-1.3003-0.729796]\'','\'(-5.878051--3.102488]\'','\'(2.317015-4.600032]\'','\'(-6.13069--4.232337]\'',UK
'\'(5.84101-8.222778]\'','\'(-7.555472--5.701099]\'','\'(0.789338-3.114645]\'','\'(3.667355-6.169673]\'','\'(-10.942715--8.585775]\'','\'(8.958437-11.455917]\'','\'(-10.883176--9.389012]\'','\'(2.142121-3.814116]\'','\'(-3.330396--1.3003]\'','\'(-8.653615--5.878051]\'','\'(0.033998-2.317015]\'','\'(-6.13069--4.232337]\'',UK
'\'(3.459242-5.84101]\'','\'(-1.992353--0.137981]\'','\'(-1.535969-0.789338]\'','\'(3.667355-6.169673]\'','\'(-10.942715--8.585775]\'','\'(11.455917-13.953397]\'','\'(-7.894849--6.400686]\'','\'(3.814116-5.48611]\'','\'(-3.330396--1.3003]\'','\'(-5.878051--3.102488]\'','\'(0.033998-2.317015]\'','\'(-4.232337--2.333984]\'',UK
'\'(3.459242-5.84101]\'','\'(-5.701099--3.846726]\'','\'(0.789338-3.114645]\'','\'(6.169673-8.67199]\'','\'(-8.585775--6.228834]\'','\'(8.958437-11.455917]\'','\'(-9.389012--7.894849]\'','\'(2.142121-3.814116]\'','\'(-1.3003-0.729796]\'','\'(-5.878051--3.102488]\'','\'(0.033998-2.317015]\'','\'(-8.029043--6.13069]\'',UK
'\'(1.077473-3.459242]\'','\'(-7.555472--5.701099]\'','\'(-1.535969-0.789338]\'','\'(6.169673-8.67199]\'','\'(-6.228834--3.871894]\'','\'(8.958437-11.455917]\'','\'(-9.389012--7.894849]\'','\'(2.142121-3.814116]\'','\'(0.729796-2.759893]\'','\'(-3.102488--0.326925]\'','\'(2.317015-4.600032]\'','\'(-6.13069--4.232337]\'',UK
'\'(3.459242-5.84101]\'','\'(-3.846726--1.992353]\'','\'(0.789338-3.114645]\'','\'(8.67199-11.174308]\'','\'(-6.228834--3.871894]\'','\'(11.455917-13.953397]\'','\'(-10.883176--9.389012]\'','\'(3.814116-5.48611]\'','\'(-1.3003-0.729796]\'','\'(-5.878051--3.102488]\'','\'(2.317015-4.600032]\'','\'(-8.029043--6.13069]\'',UK
